,DeeperSRCNN,dnCNN,EDSR_ResNet,ResNet,RUNet,SRResnet,UNet
20,0.203176532565472,0.198266999440814,1.8296878443951836,0.25886619434978975,0.29771348125874025,1.2288227855081455,0.697948666796076
40,0.19610782787314057,0.21144789729354685,1.1969154560918602,0.285750414938437,0.2732337535777872,2.4140577700115844,0.6342695515416034
60,0.1980912030968445,0.19979537347070978,6.500509996756406,0.20804273705124857,0.23413822883046714,5.595671063217251,0.769048629723328
80,0.19472613174966943,0.21014074811278513,6.150648404264631,0.2127619865569653,0.20927427126637993,2.7348852667940116,0.2615070886294793
100,0.19397970457150304,0.22622971726716756,5.738079515033476,0.22724313847081928,0.19043264700783685,1.132155826332073,1.1133690196483195
120,0.19383808410408782,0.24541662776695267,5.915995524025628,0.20840291483574164,0.2098101590687557,0.8851535211617582,0.5060887813696303
140,0.18692590560056443,0.23657325131482246,4.897583666729274,0.19606711022673784,0.19858990906108778,3.019387371534963,0.2308875509171321
160,0.18535575505438165,0.2394782886762633,6.271735763017434,0.1977502809077302,0.19468564967306304,2.3149830396389675,0.6767977168922259
180,0.18331258047516188,0.21491025282772416,2.858227544900125,0.18971970193471538,0.1946280250448992,3.214205866968204,0.641942453116073
200,0.1804266442644106,0.2143406092949792,4.370522987535503,0.20489754593753734,0.1823004875046125,0.4906849713642403,0.6832628107624181
220,0.17760795218123762,0.20759789734975537,1.369968153374122,0.19784693358169328,0.1951902753396425,0.5008160635086477,0.2615794917666201
240,0.18131876948653686,0.21923960864291667,2.344763440306176,0.19075921419256422,0.18108458318213083,0.24713654588556028,0.46769692546620917
260,0.18125905161613623,0.19350100620765018,3.802296427418882,0.1866416350126034,0.19642407353765365,0.4286368883047583,0.33908600051103466
280,0.17720037076120965,0.19119457419623787,1.6007105424884505,0.1811144539063035,0.18155070838546805,0.5097759563134817,0.26708540153845056
300,0.17721345941146432,0.17924359856397756,1.766257471061184,0.17760718016339008,0.18915008465570393,0.7777861742490975,0.2306559635441817
320,0.177403038044582,0.18019248266945267,0.9302603571567446,0.17864687242204694,0.1792512474984772,0.2236459894412583,0.24802041574175338
340,0.177532383168804,0.1877488341490401,1.5816295953141215,0.17471894804087232,0.19975019555063409,0.2061680579027114,0.43079066343175915
360,0.18320304353280298,0.17991210032447474,0.6216251164981038,0.17693907538666737,0.1931963852817874,0.206701217256478,0.31761813309064835
380,0.1828458158752061,0.17918441875951505,2.7577378208047287,0.1666379655524873,0.18688639942112417,0.20737220239621848,0.23029940142340832
400,0.1834137234295875,0.16830267321964473,2.2543827807965693,0.16734236102743866,0.18144339273523735,0.20198794125579117,0.3682042728393911
420,0.18293169845741536,0.18067137166884029,1.3822173150118897,0.17029591284880966,0.1809805412022283,0.315133594511353,0.2924615819815378
440,0.18255548227981502,0.16607877798982518,1.41849911381725,0.17365838510692186,0.17398737613734933,0.26166073061362816,0.2351982821628115
460,0.1826388480522854,0.17335895037984703,0.5057067934701504,0.1691068316854868,0.174307757086081,0.2613155229574752,0.2656049208073428
480,0.18258252496053273,0.16564209224117604,0.3547480370029258,0.16745556047252325,0.1755030841235609,0.25843907816130096,0.2238200295741796
500,0.18255623784292763,0.15932447308193287,1.1315859462208855,0.17152111414214274,0.1652500131438756,0.20786244802525397,0.2963111974801462
520,0.18113876194990383,0.16249339291633788,1.750909750334697,0.1657193521193076,0.16487120218134194,0.21150239232153378,0.2759732832680472
540,0.18129821757109968,0.1673545180555223,1.0958211970168017,0.17134835798354855,0.16032948680963496,0.20891622319743267,0.2805482333574358
560,0.18113737491190743,0.16096521582986278,0.2991285257021914,0.17213198628400359,0.1774095718679467,0.2528732484729126,0.2537504028942342
580,0.18127622506521615,0.1644309306498031,0.2858619428316046,0.1695199027993948,0.17906102484040315,0.2058540325373425,0.24186696110411202
600,0.18127412098739057,0.15318808495079586,0.2618863409082535,0.1660640777815071,0.17924099464384907,0.3730527379775225,0.21078896591140897
620,0.1916730666012966,0.15595967282086426,0.22726371614506757,0.16043243407720187,0.17903109560822955,0.2128624491692042,0.26991098864603535
640,0.18109110598140662,0.17287594046405305,0.20426212896555462,0.16603380682367927,0.16983617839385753,0.24180395858156647,0.25533721714289037
660,0.19450347997173442,0.17084298545857915,0.21258067703430522,0.1633488858707313,0.15887857378195094,0.21513281871484596,0.25657276168533005
680,0.1917451882754108,0.16486217701346936,0.20009247910704395,0.16221249149490896,0.15699205828512935,0.21315404435650873,0.25258212985782297
700,0.18132158260788006,0.15894153317667492,0.22519400402125875,0.1621035911373742,0.16235637162659963,0.331657678719807,0.2489426281769518
720,0.19449249513825498,0.15949087583874075,0.22222645708423439,0.16276101199565682,0.16430455082532502,0.23372661676075712,0.24444195416849185
740,0.19219622855568605,0.15829853639824068,0.20337148781522763,0.15950959403790999,0.1746375080843428,0.2262748123509656,0.22449428085568307
760,0.1915694281107131,0.1563619250012482,0.35026793549964474,0.15827846222383432,0.15999238656265882,0.21116272025561195,0.2098611653583592
780,0.19184845565385575,0.15474132722514408,0.20567857551004368,0.15845230613829828,0.1612791183419509,0.34207159847336116,0.18255484757046678
800,0.18141951863521444,0.15791343191953977,0.20359207928984682,0.16712633789913264,0.1592415481728585,0.36552997499769285,0.2184104689351161
